N,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,VBAT
114,184184.0,114746.0,-59871.0,206032.0,311926.0,595978.0,209239.0,293774.0,-157.0,250.0,16608.0,-420.0,675.0,-608.0,3649.0
115,184019.0,114960.0,-59697.0,206218.0,312063.0,596082.0,209316.0,293706.0,-157.0,250.0,16608.0,-420.0,675.0,-608.0,3649.0
116,184184.0,114982.0,-59638.0,206336.0,312193.0,596214.0,209396.0,293749.0,-157.0,250.0,16608.0,-420.0,675.0,-608.0,3649.0
117,184452.0,115075.0,-59577.0,206443.0,312394.0,596495.0,209284.0,293476.0,-157.0,250.0,16608.0,-420.0,675.0,-608.0,3649.0
118,184593.0,114785.0,-59970.0,206088.0,312079.0,596175.0,208796.0,293284.0,-157.0,250.0,16608.0,-420.0,675.0,-608.0,3649.0
119,184944.0,115172.0,-59462.0,206664.0,312668.0,596776.0,208558.0,293503.0,-157.0,250.0,16608.0,-420.0,675.0,-608.0,3649.0
120,184998.0,114709.0,-59733.0,206438.0,312529.0,596714.0,208505.0,293978.0,-157.0,250.0,16608.0,-420.0,675.0,-608.0,3649.0
121,184966.0,114764.0,-60111.0,205936.0,311978.0,596124.0,208124.0,293789.0,-214.0,229.0,16649.0,-412.0,346.0,-547.0,3649.0
122,184798.0,114879.0,-60119.0,205829.0,311822.0,595953.0,208333.0,293651.0,-214.0,229.0,16649.0,-412.0,346.0,-547.0,3649.0
123,184484.0,114742.0,-60084.0,205914.0,311929.0,596115.0,209306.0,294207.0,-214.0,229.0,16649.0,-412.0,346.0,-547.0,3649.0
124,184745.0,114673.0,-60274.0,205724.0,311759.0,596023.0,209201.0,294196.0,-214.0,229.0,16649.0,-412.0,346.0,-547.0,3649.0
125,185376.0,115261.0,-59686.0,206313.0,312321.0,596561.0,208984.0,294014.0,-214.0,229.0,16649.0,-412.0,346.0,-547.0,3649.0
126,185653.0,115259.0,-59895.0,206019.0,312019.0,596267.0,208826.0,293989.0,-214.0,229.0,16649.0,-412.0,346.0,-547.0,3649.0
127,185318.0,115133.0,-60087.0,205854.0,311811.0,596033.0,208941.0,293906.0,-214.0,229.0,16649.0,-412.0,346.0,-547.0,3649.0
128,184673.0,115139.0,-59811.0,206291.0,312241.0,596436.0,209231.0,293469.0,-214.0,229.0,16649.0,-412.0,346.0,-547.0,3649.0
129,185075.0,114789.0,-60079.0,206148.0,312205.0,596523.0,209381.0,294616.0,-214.0,229.0,16649.0,-412.0,346.0,-547.0,3649.0
130,185332.0,114414.0,-60286.0,206066.0,312086.0,596423.0,208853.0,294170.0,-214.0,229.0,16649.0,-412.0,346.0,-547.0,3649.0
131,185770.0,115336.0,-59711.0,206599.0,312479.0,596778.0,208718.0,293830.0,-114.0,120.0,16681.0,-312.0,280.0,-456.0,3649.0
132,185954.0,115426.0,-59830.0,206241.0,312347.0,596830.0,208899.0,294406.0,-114.0,120.0,16681.0,-312.0,280.0,-456.0,3649.0
133,185834.0,115218.0,-60002.0,205913.0,312211.0,596709.0,209108.0,294888.0,-114.0,120.0,16681.0,-312.0,280.0,-456.0,3649.0
134,185841.0,115406.0,-59657.0,206536.0,312643.0,597009.0,209180.0,294133.0,-114.0,120.0,16681.0,-312.0,280.0,-456.0,3649.0
135,186001.0,115401.0,-59638.0,206542.0,312699.0,597134.0,209154.0,294363.0,-114.0,120.0,16681.0,-312.0,280.0,-456.0,3649.0
136,185798.0,115074.0,-59938.0,205845.0,312247.0,596733.0,208885.0,293967.0,-114.0,120.0,16681.0,-312.0,280.0,-456.0,3649.0
137,185577.0,114649.0,-60259.0,205279.0,312061.0,596576.0,208833.0,293601.0,-114.0,120.0,16681.0,-312.0,280.0,-456.0,3649.0
138,185271.0,114317.0,-60808.0,205196.0,311876.0,596202.0,208702.0,293614.0,-114.0,120.0,16681.0,-312.0,280.0,-456.0,3649.0
139,185645.0,114433.0,-60530.0,205326.0,311824.0,596088.0,208667.0,294112.0,-114.0,120.0,16681.0,-312.0,280.0,-456.0,3649.0
140,186334.0,114932.0,-59812.0,205562.0,311999.0,596436.0,208738.0,294213.0,-114.0,120.0,16681.0,-312.0,280.0,-456.0,3649.0
141,186398.0,115165.0,-60242.0,205839.0,311693.0,596433.0,208658.0,293971.0,-109.0,190.0,16597.0,-364.0,398.0,-250.0,3649.0
142,186939.0,115126.0,-60816.0,205788.0,311567.0,595981.0,208690.0,294234.0,-109.0,190.0,16597.0,-364.0,398.0,-250.0,3649.0
143,187184.0,115892.0,-59737.0,206374.0,312632.0,596446.0,208842.0,294461.0,-109.0,190.0,16597.0,-364.0,398.0,-250.0,3649.0
144,186469.0,115394.0,-59864.0,206198.0,312674.0,596796.0,208780.0,294234.0,-109.0,190.0,16597.0,-364.0,398.0,-250.0,3649.0
145,186893.0,115388.0,-60026.0,206054.0,312324.0,596711.0,208406.0,293623.0,-109.0,190.0,16597.0,-364.0,398.0,-250.0,3649.0
146,187274.0,115899.0,-59808.0,206546.0,312638.0,595926.0,208294.0,293651.0,-109.0,190.0,16597.0,-364.0,398.0,-250.0,3649.0
147,187111.0,115831.0,-59814.0,206329.0,311851.0,593635.0,208402.0,294248.0,-109.0,190.0,16597.0,-364.0,398.0,-250.0,3649.0
148,187918.0,116375.0,-59166.0,206769.0,310200.0,590686.0,208766.0,294621.0,-109.0,190.0,16597.0,-364.0,398.0,-250.0,3649.0
149,188284.0,116813.0,-58263.0,206168.0,309763.0,591218.0,208856.0,294338.0,-109.0,190.0,16597.0,-364.0,398.0,-250.0,3649.0
150,187653.0,116444.0,-58856.0,202154.0,310196.0,595839.0,208871.0,294461.0,-109.0,190.0,16597.0,-364.0,398.0,-250.0,3649.0
151,187573.0,115472.0,-61037.0,200897.0,311793.0,599577.0,209026.0,294606.0,-343.0,329.0,16605.0,-875.0,-171.0,27.0,3649.0
152,187177.0,115607.0,-59570.0,203751.0,312084.0,598424.0,208568.0,293781.0,-343.0,329.0,16605.0,-875.0,-171.0,27.0,3649.0
153,187393.0,116244.0,-59125.0,203143.0,312376.0,598095.0,208939.0,294056.0,-343.0,329.0,16605.0,-875.0,-171.0,27.0,3649.0
154,186989.0,115576.0,-60404.0,204562.0,312929.0,597989.0,208593.0,294228.0,-343.0,329.0,16605.0,-875.0,-171.0,27.0,3649.0
155,186615.0,116202.0,-59173.0,206406.0,312901.0,596575.0,208676.0,294606.0,-343.0,329.0,16605.0,-875.0,-171.0,27.0,3649.0
156,186628.0,116263.0,-59037.0,207084.0,312366.0,596084.0,208892.0,294404.0,-343.0,329.0,16605.0,-875.0,-171.0,27.0,3649.0
157,187256.0,115564.0,-59748.0,206334.0,311905.0,597734.0,208846.0,294473.0,-343.0,329.0,16605.0,-875.0,-171.0,27.0,3649.0
158,187626.0,115920.0,-59497.0,206163.0,312586.0,598512.0,208226.0,294116.0,-343.0,329.0,16605.0,-875.0,-171.0,27.0,3649.0
159,187729.0,116488.0,-59694.0,206569.0,312718.0,598091.0,207779.0,293033.0,-343.0,329.0,16605.0,-875.0,-171.0,27.0,3649.0
160,187272.0,116879.0,-59381.0,206989.0,312939.0,598186.0,207884.0,292349.0,-343.0,329.0,16605.0,-875.0,-171.0,27.0,3649.0
161,186813.0,116566.0,-59314.0,206949.0,312904.0,598486.0,208330.0,292478.0,-346.0,263.0,16658.0,-826.0,-342.0,502.0,3649.0
162,187671.0,116838.0,-59067.0,207150.0,312948.0,598494.0,208688.0,294136.0,-346.0,263.0,16658.0,-826.0,-342.0,502.0,3649.0
163,187904.0,117264.0,-58731.0,207484.0,313154.0,598456.0,208849.0,294968.0,-346.0,263.0,16658.0,-826.0,-342.0,502.0,3649.0
164,187604.0,117038.0,-58986.0,207298.0,313099.0,598392.0,208898.0,294853.0,-346.0,263.0,16658.0,-826.0,-342.0,502.0,3649.0
165,187394.0,116947.0,-58857.0,207412.0,313281.0,598688.0,208737.0,294583.0,-346.0,263.0,16658.0,-826.0,-342.0,502.0,3649.0
166,187021.0,117052.0,-58695.0,207521.0,313279.0,598676.0,208489.0,293669.0,-346.0,263.0,16658.0,-826.0,-342.0,502.0,3649.0
167,186886.0,117455.0,-58419.0,207664.0,313313.0,598643.0,208616.0,293227.0,-346.0,263.0,16658.0,-826.0,-342.0,502.0,3649.0
168,186934.0,117497.0,-58398.0,207680.0,313306.0,598578.0,208483.0,293407.0,-346.0,263.0,16658.0,-826.0,-342.0,502.0,3649.0
169,186935.0,117036.0,-58832.0,207308.0,313056.0,598414.0,208116.0,293992.0,-346.0,263.0,16658.0,-826.0,-342.0,502.0,3649.0
170,186699.0,116883.0,-59296.0,206696.0,312454.0,597931.0,208373.0,294349.0,-346.0,263.0,16658.0,-826.0,-342.0,502.0,3649.0
171,186375.0,116930.0,-59214.0,206735.0,312461.0,597966.0,208796.0,294494.0,-365.0,210.0,16875.0,14.0,-475.0,255.0,3649.0
172,186431.0,116358.0,-59660.0,206393.0,312226.0,597793.0,209006.0,295696.0,-365.0,210.0,16875.0,14.0,-475.0,255.0,3649.0
173,186219.0,116013.0,-60066.0,206059.0,312043.0,597732.0,209223.0,295873.0,-365.0,210.0,16875.0,14.0,-475.0,255.0,3649.0
